# Observed curve number calculations
# Area in square miles
# Precip and Runoff in inches
STATION  AREA  MONTHYEAR  PRECIP  RUNOFF  OBS-CN
08088100  11.8  05/15/1969  4.64  3.435  89.1
08088100  11.8  06/15/1969  2.84  0.250  59.0
08088100  11.8  08/15/1969  1.60  0.002  57.5
08088100  11.8  09/15/1969  7.87  1.665  45.0
08088100  11.8  10/15/1969  3.73  0.173  47.1
08088100  11.8  12/15/1969  2.45  0.338  67.1
08088100  11.8  02/15/1970  2.02  0.050  58.8
08088100  11.8  03/15/1970  1.90  0.232  71.2
08088100  11.8  04/15/1970  3.92  0.643  58.3
08088100  11.8  05/15/1970  1.59  0.092  69.0
08088100  11.8  08/15/1970  1.70  0.005  57.1
08088100  11.8  09/15/1970  5.96  0.222  34.5
08088100  11.8  11/15/1970  0.30  0.001  88.4
08088100  11.8  12/15/1970  0.62  0.001  77.9
08088100  11.8  01/15/1971  0.18  0.001  92.9
08088100  11.8  02/15/1971  1.62  0.018  61.1
08088100  11.8  04/15/1971  1.02  0.002  68.4
08088100  11.8  05/15/1971  2.29  0.077  57.3
08088100  11.8  06/15/1971  1.27  0.005  64.5
08088100  11.8  07/15/1971  1.12  0.001  65.6
08088100  11.8  08/15/1971  8.38  1.767  43.4
08088100  11.8  09/15/1971  3.04  0.099  50.1
08088100  11.8  10/15/1971  4.57  0.646  52.5
08088100  11.8  11/15/1971  1.05  0.007  69.6
08088100  11.8  12/15/1971  3.42  0.404  57.5
08088100  11.8  01/15/1972  0.31  0.008  90.4
08088100  11.8  02/15/1972  0.55  0.003  81.1
08088100  11.8  03/15/1972  0.73  0.003  76.0
08088100  11.8  04/15/1972  2.98  0.125  52.0
08088100  11.8  05/15/1972  6.71  8.967  118.0
08088100  11.8  06/15/1972  4.73  0.376  45.4
08088100  11.8  07/15/1972  0.79  0.001  73.3
08088100  11.8  08/15/1972  3.16  0.038  44.9
08088100  11.8  09/15/1972  2.12  0.014  53.2
08088100  11.8  10/15/1972  6.28  1.524  53.1
08088100  11.8  12/15/1972  0.28  0.006  90.9
08088100  11.8  02/15/1973  1.35  0.050  69.9
08088100  11.8  03/15/1973  1.98  0.173  67.3
08088100  11.8  04/15/1973  2.89  0.162  54.8
08088100  11.8  05/15/1973  0.70  0.008  78.5
08088100  11.8  07/15/1973  1.80  0.019  58.4
08088100  11.8  08/15/1973  0.21  0.019  95.2
08088100  11.8  09/15/1973  4.81  0.270  42.1
08088100  11.8  10/15/1973  2.43  0.052  53.6
08088100  11.8  02/15/1974  1.08  0.024  72.3
08088100  11.8  03/15/1974  2.32  0.018  51.3
08088100  11.8  04/15/1974  2.52  0.147  58.5
08088100  11.8  05/15/1974  1.71  0.078  65.9
08088100  11.8  06/15/1974  1.74  0.193  72.1
08088100  11.8  08/15/1974  2.14  0.002  50.0
08088100  11.8  09/15/1974  6.58  0.935  43.5
08088100  11.8  10/15/1974  4.66  0.854  55.7
08088100  11.8  11/15/1974  0.78  0.079  84.7
08088100  11.8  12/15/1974  1.08  0.024  72.3
08088100  11.8  01/15/1975  0.71  0.015  79.8
08088100  11.8  02/15/1975  2.55  0.162  58.8
08088100  11.8  03/15/1975  1.58  0.013  60.9
08088100  11.8  04/15/1975  1.29  0.027  68.4
08088100  11.8  05/15/1975  8.95  3.167  52.6
08088100  11.8  06/15/1975  3.05  1.346  80.9
08088100  11.8  07/15/1975  2.19  0.048  56.3
08088100  11.8  08/15/1975  2.44  0.015  49.5
08088100  11.8  09/15/1975  2.49  0.020  49.6
08088100  11.8  11/15/1975  1.27  0.005  64.5
08088100  11.8  12/15/1975  1.19  0.007  66.7
08088100  11.8  03/15/1976  0.90  0.002  71.2
08088100  11.8  04/15/1976  2.79  0.017  46.1
08088100  11.8  05/15/1976  3.83  0.243  48.7
08088100  11.8  06/15/1976  2.71  0.387  65.2
08088100  11.8  07/15/1976  1.34  0.154  77.3
08088100  11.8  09/15/1976  5.41  0.582  45.1
08088100  11.8  10/15/1976  6.18  1.161  49.0
08088100  11.8  11/15/1976  0.46  0.016  87.1
08088100  11.8  12/15/1976  0.65  0.014  81.2
08088100  11.8  01/15/1977  1.56  0.057  66.7
08088100  11.8  02/15/1977  0.93  0.032  76.8
08088100  11.8  03/15/1977  2.59  0.221  60.9
08088100  11.8  04/15/1977  3.72  0.769  63.0
08088100  11.8  05/15/1977  3.07  0.186  53.9
08088100  11.8  06/15/1977  3.34  0.188  51.2
08088100  11.8  07/15/1977  2.09  0.331  72.0
08088100  11.8  08/15/1977  1.30  0.004  63.6
